"","1_L25_C01_IL4625","1_L25_C04_IL4625","1_L25_C06_IL4625","1_L25_C08_IL4625","1_L25_C10_IL4625","1_L25_C17_IL4625","1_L25_C19_IL4625","1_L25_C20_IL4625","1_L25_C23_IL4625","1_L25_C26_IL4625","1_L25_C31_IL4625","1_L25_C34_IL4625","1_L25_C36_IL4625","1_L25_C39_IL4625","1_L25_C42_IL4625","1_L25_C45_IL4625","1_L25_C47_IL4625","1_L25_C50_IL4625","1_L25_C51_IL4625","1_L25_C54_IL4625","1_L25_C56_IL4625","1_L25_C62_IL4625","1_L25_C64_IL4625","1_L25_C67_IL4625","1_L25_C68_IL4625","1_L25_C69_IL4625","1_L25_C70_IL4625","1_L25_C72_IL4625","1_L25_C73_IL4625","1_L25_C76_IL4625","1_L25_C78_IL4625","1_L25_C79_IL4625","1_L25_C80_IL4625","1_L25_C82_IL4625","1_L25_C83_IL4625","1_L25_C85_IL4625","1_L25_C88_IL4625","1_L25_C89_IL4625","1_L25_C93_IL4625","1_L25_C94_IL4625","1_L25_C95_IL4625","1_L25_C96_IL4625"
"Tmed1",98.7594,0,5.4683,0,0,0,335.358,0.344255,0,1.8505,21.9496,4.28954,8.41405,0,0,2.31342977831901e-317,0,0,1.04329,0,112.383,0,0,45.7589,0,0,0,0.38519,0,0,0,0,0.183517,0,35.3111,0,0.0886048,0.186068,0,0,0,0
"Tmed10",98.7594,0.0720862,68.2474,0,0.131709,2.22565,335.358,27.3495,0,1.8505,21.9496,96.631,2.55367,136.228,3.06095,8.74646,0.200944,36.5527,14.4838,46.8669,44.8319,0.0472748,0.169691,1.20983,0.17122,2.29995,0,35.6128,1.03972,1.37832,19.0733,0,29.1113,0.0416808,14.5705,0,0.0886048,25.6456,0.0458515,0.210201,0,0
"Tmed11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tmed2",179.812,0,42.0793,1.14129,0,5.29876,1.59209,26.9614,0,0,8.99703,140.613,33.6491,40.1398,36.0854,70.8002,0,0,0,0,0,0,0,0,2.08362,0,322.794,0,0,0,0,0.426765,0,0.466513,0,1.00178,1.49295,1.21451,3.08247,92.5034,0,0
"Tmed3",0,0,285.701,0,0,342.749,0,0,0,0,0.258418,0,0,285.961,0,0,0,16.0543,0,0,0,0,0,418.419,0,15.7713,0.328135,0,0,0,0,91.5724,0,0,0.210969,0,0,0,0,0,0,0
"Tmed4",0,0,0,0,0,109.12,0,0,0,0,0,0,139.047,0,193.367,0,0,0,17.4299,0.357952,0.973943,1.10055,0.591381,1.25277,1.19733,0.937382,115.368,0,0,2.63447,1.07681,1.76759,0.331674,3.09189,0.666529,3.98045,4.75022,5.37803,8.94293,1.79334,0.911347,0
"Tmed5",0,0.0675322,0,0,220.282,2.78558,23.2553,0.0731019,0,0.0174282,0,10.0537,22.5704,15.0302,11.0151,0.624767,0,11.3087,26.7536,25.9245,31.4227,0.00984108,0.00993588,0.167892,0,120.144,73.4808,0.149533,0,0,0,0,1.40192,48.8938,23.6093,0,0.580971,0,0,0.00504901,0,0
"Tmed6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tmed7",0,0.0737212,154.146,14.4235,0,0.827705,0,5.45125,0,0,0,0,0,0.216836,0,0,0,0,4.53896,0,0,51.1526,0,0,0,0,0,23.6218,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tmed8",0,0,0,0,0,0,0,0,0,0,0,5.71314,0,0,0,0,0,0.0348574,0,0,0,0,0,0,0,0.0385305,0,3.08877,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tmed9",0.198231,0.381305,0,0,0.46486,0.357464,0.614976,0.531235,0,6.28796,181.434,5.46284,0,0.373691,0,2.17384,0.532245,0,6.86937,29.9665,40.476,0,0,0,4.09028,0,0,0,20.1304,0,0,0,0.188766,0,0,0,0,0,0,0,0,0
"Tmeff1",0.110613,0.106776,0.112203,0.258219,47.2891,0.0999583,0.11469,0.889458,0.587238,0.391491,2.91358,0,0.285364,0,0.239037,0.770354,1.04221,0,0,0.113779,0.464795,0,0.125659,0.398582,0.507767,0,0.165154,152.484,0.212509,0,0.114526,0,0.105606,0.37008,0.212212,0.795253,0.131382,0.213702,0.135784,0,0.144939,0
"Tmeff2",0,0,0,0,0,413.417,0,0,0,0,0,0,0.102081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.150999,0,0,0,0,0,0,0,0,0
"Tmem100",1.26849,5.95739,1.12535,49.9532,4.09584,1.14489,1.80584,8.21594,3.36084,1.49309,273.023,2.01897,187.283,1.19779,1.88507,240.527,4.04928,4.9853,223.258,128.831,46.6004,0.200628,0.35947,0.190292,133.028,308.715,534.372,440.63,118.478,173.49,0,0.322456,120.406,0.176255,0,0,0,0.306275,0.19416,2.2292,0.207633,0.178744
"Tmem101",0.180224,0.34693,0.548064,0.210255,0.845798,0.162572,0.186473,0.482998,0.763352,0.423829,0.211054,0,0.463238,0.510034,0.779216,0.179596,1.69455,0,1.75633,11.6768,2.01703,0.227911,0,0,0,0.194096,11.0055,0,0,0.389619,0,0,0,0,0,0.514981,0,0,0.440876,0,0,0.406013
"Tmem102",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tmem104",0,0.0549564,0,0,0,0,0.0589924,2.79162,0,0,19.6782,0,0,0,0,1.58042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tmem106a",0,0.113906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.9906,301.283,0,0.149507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tmem106b",0.168651,0.530628,0.0855957,0.443134,3.87716,0.30535,0.613308,3.6546,0.763102,0.449149,0.246715,0.179533,0.109169,0.0400236,0.227704,3.60186,0.341211,0,13.0469,0.0867555,1.30077,0,0.0480483,362.23,0.0484292,0,0,7.11915,0.0405866,0,0.0438427,0,0,0.0944856,9.07749,0.061011,2.85705,0,0.0519421,0,0,0
"Tmem106c",0,0,121.503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tmem107",0,0,67.1842,0,0,0,0,0,0,0,2.73003,0,0,46.3202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tmem108",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
