,Adult_1_L28_C01_IL4898,Adult_1_L28_C02_IL4898,Adult_1_L28_C08_IL4898,Adult_1_L28_C10_IL4898,Adult_1_L28_C14_IL4898,Adult_1_L28_C15_IL4898,Adult_1_L28_C16_IL4898,Adult_1_L28_C17_IL4898,Adult_1_L28_C18_IL4898,Adult_1_L28_C19_IL4898,Adult_1_L28_C26_IL4898,Adult_1_L28_C31_IL4898,Adult_1_L28_C38_IL4898,Adult_1_L28_C39_IL4898,Adult_1_L28_C40_IL4898,Adult_1_L28_C45_IL4898,Adult_1_L28_C53_IL4898,Adult_1_L28_C56_IL4898,Adult_1_L28_C57_IL4898,Adult_1_L28_C58_IL4898,Adult_1_L28_C59_IL4898,Adult_1_L28_C60_IL4898,Adult_1_L28_C61_IL4898,Adult_1_L28_C62_IL4898,Adult_1_L28_C63_IL4898,Adult_1_L28_C64_IL4898,Adult_1_L28_C66_IL4898,Adult_1_L28_C68_IL4898,Adult_1_L28_C69_IL4898,Adult_1_L28_C72_IL4898,Adult_1_L28_C73_IL4898,Adult_1_L28_C74_IL4898,Adult_1_L28_C80_IL4898,Adult_1_L28_C81_IL4898,Adult_1_L28_C82_IL4898,Adult_1_L28_C87_IL4898,Adult_1_L28_C88_IL4898,Adult_1_L28_C95_IL4898,Adult_1D_L28_C33_IL4898,Adult_1p_L28_C21_IL4898,Adult_1p_L28_C51_IL4898,Adult_1pp_L28_C25_IL4898,Adult_1pp_L28_C34_IL4898,Adult_1pp_L28_C65_IL4898,Adult_1pp_L28_C67_IL4898,Adult_1pp_L28_C75_IL4898,Adult_1pp_L28_C79_IL4898
Dctn6,6.317915434,7.121108676,6.653260696,3.221122291,4.305138799,7.767581973,0,0,4.968178325,8.855067792,4.7471027,9.03105879,7.128334649,5.31712676,10.56429242,0,9.651383616,6.916249713,9.094518478,5.205861657,1.519828704,8.06909526,7.580062551,6.707718035,9.371105771,5.326864477,0,6.240631077,0,1.310095773,7.96836152,0.404085654,9.043710863,0,1.655603706,7.897452215,5.668016979,6.01278095,9.809239178,7.438234624,7.163206863,0.519340608,0,0,10.04049522,8.607367305,6.610128646
Dctpp1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.560427609,0,0,0.643283615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dcun1d1,0,0,1.452874775,4.095308401,0,0,0,0,0,0,2.43094357,0,0.629986022,0,5.520865361,0,0,3.209830756,0,0,4.168778405,0,4.85445951,0,0,4.838034038,0,4.83861399,0,2.136834483,0,0,0,5.091086241,3.480717509,0,4.705596449,0,6.247046441,0,0,3.652348816,0,0,3.866650861,0,0
Dcun1d2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.266864482,0,0,0,0,0,0,0,0,0,0,0,5.983084809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dcun1d3,2.907715581,0,0,0,2.936899838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.363958806,1.62782626,0,3.84752595,0,0,0,0,0,0,0,0,2.418324899,0,1.69971597,0,1.270289719,0.39835037,0,0,0,0.331544717,0,0,0,0,0
Dcun1d4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.051305969,0,0,0,0,0,0,0,0,0,0,0,0,6.075061924,0,0,0,0,0,0,0,0
Dcun1d5,4.342071111,0,2.96990013,3.945279951,5.133210042,3.578057132,0,0,0,3.554466064,1.645028336,3.560445952,0,0,2.829082353,6.827107662,4.336490493,0,7.070614731,0,0,4.846232534,0,3.865225996,3.902710348,3.84337087,0,3.572453157,0,0,4.397227959,0,0,0,0,3.227982839,3.133793655,7.364108384,3.871961897,7.513388098,1.51920975,0,0,0,6.500733549,0,3.597709936
Dcxr,0,0,0,0,0,0,0,0,3.862748926,0,0,0,3.939856561,0,0,0,0,0,5.000045084,0,0,1.227784196,0,0,0,0,1.451514458,0,0,6.026490245,0,0,8.243440596,0,1.427118041,0,0,7.262076048,0,0,0,0,0,0,2.172068215,0,0
Dda1,0,0,0,3.715805533,0,0,0.374310599,0,0,0,0,1.722374214,0,0,0,3.030182442,0,0,0,0,0,0,0,7.291612766,0,4.13191045,2.455210156,0,0,0,0,0,0,0,2.808949249,0,0,0,0,0,0,0,0,0,0,0,0.451055457
Ddah1,0,0,0,0,0,0,0,0,0,0.268170864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.43066664,0,0,0,0,0,0,0,0
Ddah2,0,0,6.38196164,6.916870704,7.018155659,7.5015108,5.778287439,4.111098102,5.227321358,0,0,5.294793494,0,4.27135097,8.476952722,4.506208389,0,6.525274923,0,7.142607445,0,0,0,0,0,0,0,1.330472352,1.851355276,0,4.984489096,4.008182082,0,5.257233193,0,2.796745172,4.035535938,7.866617482,5.538199798,5.979044428,0,0,0,6.930145948,0,0,6.664340612
Ddb1,4.462693665,0,0,4.370024748,1.524851024,0,4.859244044,3.427042929,0,0,4.740274585,0,0,0,0,0,0.320600205,0,2.608038023,5.032872249,5.118530002,1.127758726,1.961671479,2.292725807,3.931550694,5.467530561,1.983272735,0,0,0,0,0,5.913286771,2.629445219,4.163708037,1.971214283,0,2.43820501,0,0.400373978,4.111415312,0,0,7.550377408,2.387889117,0,2.229252588
Ddb2,0,0,0,0,7.03760186,0,0,5.055881084,0,0,3.615522235,0,6.091035449,0,4.931664149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.20119785,0,0,0,5.215352439,0,0,0.631588593,0,0,0,0
Ddc,5.457216694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.697329024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ddhd1,3.3710988,0,0,0,0,0,1.473350531,0,0,0,0,0,0,0,0,0,0,0,0,0,1.452189504,0,0,0,0,0,0,0,0,6.087246421,2.527105376,0,0,0,0.329456598,0,0,0,0,0,0,0,0,0,0,0,0
Ddhd2,4.974152988,0,5.514810296,2.168032227,7.115199749,3.438612232,6.297763685,4.219455095,0,0,2.435441912,0,0,4.482222291,6.516087658,6.208384596,6.680999407,0,4.662541634,0,3.652842106,0,0,0,0,3.935195701,0,0,0,2.283821047,0,3.631698006,0,0,2.23093463,3.20644162,0,0,0,5.737800312,2.213904031,0,6.789103218,0,0,0,6.634021072
Ddi1,0,0,0,0,0,0,0,0,0,0,0,0,1.18914139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.781496107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.254190383
Ddi2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.270134203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ddit3,4.255719764,1.96153443,0,8.494927567,0,0,0,0,0,0,0,0,0,2.659602655,8.659767611,0,0,0,0,0,6.403114309,3.744903785,0,0,0,5.674517147,0,2.7770367,0,0,0,0,0,0,0,0,3.485851844,5.565472275,7.175115367,4.934851425,0,0,0,0,0,0,8.954684882
Ddit4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ddit4l,0,0,0,0,0,7.475960354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ddo,0,0,3.390131115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.42790782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.047452885,0,0,0,0,0,0
Ddost,4.288661245,8.774625653,6.684650451,3.466535766,6.558722232,8.35422293,1.506789794,7.035656898,4.495036335,4.747269229,6.834015889,3.647107244,6.665563319,3.326724288,0.993210596,0,7.831921565,6.727620996,0.907444484,2.294211958,1.33888646,3.758782859,5.407410539,5.717574985,7.868365758,4.604077256,3.119120412,5.129344845,3.35414181,0,6.86494135,5.047843716,4.477806828,6.835911446,4.58016961,7.182851176,1.113380457,4.44173577,2.114783447,3.510556895,3.574767586,0.750332088,0.72865196,5.583173051,4.577815509,0,7.061484606
Ddr1,4.010591882,0,0,0,0,0,0,0,5.932441549,2.93573883,0,0,2.995576776,0,0,0,4.710486871,3.339978237,2.233246924,0.740366343,0,2.547301752,2.805418351,0,0,0,3.357256398,0,0,0,0,0,0.786587998,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ddr2,6.100393221,6.128582109,5.419565858,5.960882345,7.018222438,3.275637344,0.099497201,2.92890845,3.156469429,3.277996646,4.254034633,6.075010565,4.770855469,0,3.918777388,5.55498784,4.034004368,3.380272301,5.473497954,4.638485149,3.472461777,4.497759246,3.713112901,5.20143783,3.977866042,7.479586275,5.773632442,2.938103208,4.464236962,5.914057386,3.935733174,4.972894801,0.940677947,3.055879349,4.548214655,6.306938436,5.748568572,2.760114471,3.466692369,4.277783946,5.266561688,2.297393937,1.955190031,5.359479002,1.438553684,3.097988275,0
Ddrgk1,6.523125945,2.321296056,4.848006925,5.27117913,3.009087349,1.275322975,4.432384887,7.024064756,0,7.378962395,5.405958333,0,5.159467729,0,8.117024857,6.528271247,6.652830636,0,3.007096806,0,0,7.442130715,1.858613652,0,7.325944013,5.463318376,0,4.584361253,0,0,1.195593277,0,0,0,5.426469402,4.280369914,0,1.337305768,3.445766425,2.947770872,0,0,0,0,2.512037212,0,0
Ddt,0,2.315743006,0,7.999684376,6.43510849,7.517220567,6.851036886,0,3.623059157,4.098512199,0,0,0.621533821,0,7.202045441,0,0,0,0,0,0,0,0,0,0,7.535407585,0,0,5.299156722,7.942655249,0,3.814878504,0,0,0,0,0,8.158670273,6.069755863,5.24392418,0,0,0,0,0.70043084,0,0
Ddx1,0,1.142949243,0,5.551405273,0,0,2.565879838,0,4.115882225,2.917238874,1.106294712,4.951522521,1.881112492,1.858175995,0.243900576,0.354869618,0,0,7.354884072,0,0,0,7.18336741,4.805163453,2.792124452,3.287102856,0.15410357,0,0,3.506043319,6.480777278,0,0,8.730388617,0,1.524976358,3.234220786,2.289571865,7.333432679,1.934320229,0,0,0,2.654978512,1.962256568,0,0
Ddx10,4.126295608,0,0.699631583,0,0,2.381144911,0,0,0,0,0,0,0.587557017,1.37153656,0,0,3.8360251,0,4.791933857,0,0,0,0,0,0,0,0,1.883171126,7.040399323,0,0,4.886023307,0,0.271102916,4.107244281,0,1.362363278,0,0,0,3.03231247,0,0,0,4.144552203,0,0
Ddx11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ddx17,3.339066104,0,5.445319498,2.137778921,5.395398749,0,0,2.932845442,1.114087122,0,4.565304708,0.433696596,0,0,0,5.624282244,0,0,5.647078455,4.314595026,0,5.950932596,1.138499951,3.610475657,0,0,2.279949638,3.872887845,0,2.000789659,4.149836523,1.73061822,2.322418528,5.636424514,5.413929129,1.79848191,2.571118553,0,4.923367898,0,2.489571193,0.751060893,0,0,2.735795094,0,0
Ddx18,0,0,2.260094928,5.296644615,0,0,0,0,3.479140002,1.428297857,0,0,1.807631069,1.744221386,0,0,0,0,0,0,0,0,0,0,0,0,0.303809967,0,3.10233899,0,0,0,0,0,1.043141491,0,0,0,0,0,0,2.957364896,2.27757419,6.508151306,0,0.221938932,0.147606279
Ddx19a,0,0,0,0,0,0,0,0,0.600878678,0.628419001,3.769041746,0,0,3.665972552,0,0,0,0,0,0,0,0,0.170707051,0,0,0,0,0,5.13459471,0,0,0,0,0,0,0.135889426,0,0,0,0.823325455,0,0,0,0,0,2.706954845,0
Ddx19b,0,0,0,0,0,0,0,0,0,2.752097733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003774918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ddx20,5.188753009,0,0,2.655761679,0,0,0,0,0,4.050510404,0,0,0,0,0,3.688269895,0,0,0,0,0,6.202427517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.747808438,0,0,0,0,0,0
Ddx21,0,0,0.761310808,0,0,3.925163932,0,1.058655913,0,1.802445537,1.170463507,0,0,0,0,1.512302749,0,4.185842764,1.468411278,0,1.592387667,3.749480635,0.905412519,1.343868274,0,0,0,0,0,2.767303085,0,0,0,0,3.426801472,4.316391964,0.668046489,0,0,6.727267011,0,0,7.023665655,0,0.145273118,0,2.073761976
Ddx23,0,0,0,0,0,0,0,3.820076821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.030680377,0,0,0,0,2.96919839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ddx24,2.918609491,1.055806483,0,1.603890976,2.495695163,1.242706151,0,4.714970805,1.634360932,3.58273663,0,2.843529665,2.724949256,3.641754095,4.125080721,0,1.964350572,4.11653111,0,5.334643354,2.692447285,0,3.613861643,3.448636697,7.210953768,0,1.356667819,1.043393504,4.094354319,0,4.377540252,3.183272119,0,0,3.374650025,0,0.593296397,0,0,4.306692417,5.521625564,5.240039504,0,2.828787946,0,0,0
Ddx26b,0,0,0,0,0,0,0,0,2.162638655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.381234913,0,0,0,0,0,0,0,0,0,0,0
Ddx27,3.989257107,4.457817521,6.663017215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.176858896,0.759036492,0,0,0,0,0,0,7.063966653,0,0,0,0,0,0,0,0,3.13864739,7.387500406,0,1.697595918,0,1.982853062,0,2.578243154,0,5.299805125,0,0,1.505977286
Ddx28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.746377267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ddx31,0,0,0,0,0,3.77636723,0,0,5.797549996,0,0,0,0,0,0,0,6.860677309,1.830539291,0,0,1.757304929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ddx39,0,6.670514628,0,0,3.245440899,1.146414101,0,0,0,1.753968159,0,0,0,0,0,0,0,0,0,0.404979396,0,0,6.584225937,0,0,0,7.696265128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.183492866,0,0,0
Ddx39b,0,2.802143575,4.889999125,4.48565867,0,4.798366815,0,4.097829881,0,1.762008567,1.097678211,0,8.10928742,4.098385868,5.918364766,3.28527792,0,7.110926947,0,0,2.262793937,4.786272242,7.18292068,8.007498274,0,6.836163998,5.351780251,1.954084614,0,0,0,0,0,0,0,0,0,2.326793306,1.924863799,8.162572598,3.874875638,5.636201175,0,0,0,0,0
Ddx3x,6.812331356,0,1.864588309,3.849288742,0.475728244,5.733630921,3.90551457,5.498927371,3.299271038,5.617366078,0,3.441642826,5.28231006,0,6.456135889,0,0,6.2639696,6.058050187,5.05099354,6.323107016,5.067509653,0,4.558983905,7.611821565,6.426528106,6.735941819,7.965928547,3.53507004,0.179358174,0,6.234918955,5.706279123,5.721271481,5.883669687,0,4.331447262,5.886667197,5.902102529,0.395633182,3.837993685,0,0,7.456970381,4.982628578,0,6.323157468
Ddx3y,4.873606522,1.484179387,6.197151807,7.064581109,2.934129592,2.459657186,0,6.199256161,1.750486454,0.305165071,5.485436488,3.232996835,3.88509599,0,0,4.441802155,0,3.568263209,3.397036241,2.552913125,2.991381254,4.569940649,5.876804229,7.273711692,2.285707002,0,4.84642311,2.672737609,2.976275641,0,4.745092087,5.572595644,3.344544474,5.215457284,5.838629116,0,0,0,5.412385238,3.771463058,0,0,4.719051982,0,0,5.471883273,5.096438974
Ddx4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ddx41,0.692891357,0,6.254720636,0,3.272966755,0,0,0,0,0,0,0,5.911113909,0,0,0,0,4.229664823,5.371973491,0,5.899869253,0,0,0,0,0,0,0,4.198737725,0,0,0,0,0,0,0,0,7.939297112,0,4.691355492,0,0,0,0,0,0,0
Ddx42,0.629883472,0,0.430863306,1.651995379,2.817330596,0,0,0,0,6.2328219,0,3.819514915,0,4.539785394,0,5.695587441,0.184407259,0,2.079576089,0.001859877,0,0,0,3.117149774,0,5.999301025,0,0.922220688,3.490531624,0.699613816,0,5.390258396,2.955041203,0,0,0,0,6.544782105,7.734770578,1.992833677,0,5.918992001,0,0,0,0,0
Ddx46,0,0,0,0,0.319606374,4.332951346,3.519466422,1.455759882,5.510775243,0,3.485349538,0,1.253263199,4.230787107,3.868627508,3.536736775,0.659376595,3.508238478,2.911716505,4.442585265,0.321824217,4.331418598,0.542198607,4.160581412,0,2.50490509,0,0,4.316681584,0,0,2.214544494,2.430159467,4.1278396,4.830235039,5.014038329,0.098109586,0,0,1.195108179,0,0,0,6.524071514,2.301491074,0.25297267,4.099572943
Ddx47,0,0,0,0,6.588263395,0.044170266,0,0,0,0,0,0,0,6.702892987,0,6.104516985,0,0,4.163555086,0,6.426029878,5.886940276,3.414027259,0,0,3.866542067,0,0,0,0,0,0,1.058711321,0,4.115174775,0,0,0,3.983540897,5.710227862,0,0,0,0,0,0,0
Ddx49,0,0,0,0,0,0,0,0,0,0.953347197,0,6.586008076,0,0,0,0,0,1.297479046,0,0,0,0,0,5.303762486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.030325483,0,0,0,0,0,0
Ddx5,6.143032128,7.491299957,7.723230887,6.774773884,5.712262855,5.523624681,6.219488008,5.665600269,8.32218956,6.211413319,4.990523802,5.07587059,7.573329078,6.414177825,6.568524678,6.503895685,3.787453361,7.598506645,7.678924027,5.851489208,5.914552565,8.486613825,5.799750462,4.617515952,7.11046765,7.382001426,7.766124699,6.996320949,6.302337331,4.496960802,6.852523267,6.944261103,5.71885751,7.183327706,7.21165472,6.789494521,6.195635006,7.030181559,4.695754457,6.525473828,8.805740648,6.904363668,4.941876294,5.78086649,6.417668581,4.413763308,2.868823049
Ddx50,0,5.673160646,1.646582038,0,0,1.589993533,4.48652775,5.969383068,2.916232034,0,0,0,4.071891353,0,0,1.330546927,4.708479719,0.860621197,2.335500406,3.929866728,0,0,1.061091835,0,0.135561136,0,5.372927728,5.358195796,0,1.276770588,0.984428941,5.968466357,1.074820521,7.944208384,5.066003057,3.570936465,0.240302116,0,0,0.673049809,4.590033068,4.709285121,0,1.837265117,5.760031946,4.603460184,7.191898177
Ddx51,0,0,0,0,0,0,0,0,0,0.654490535,0,0,0,0,0,0,0,0,0,0,3.199209038,0,0,1.552263933,0,0,0,0,0,0,0,0,0,0,0,0,1.883405764,0,0,0,0,0,0,0,0,0,0
Ddx52,0,0,0,6.157831963,0,0,0,0,0,0,2.112866909,0,0.85432286,0,7.141810828,0,0.065034561,0,1.146446687,0,0,0,0,0,0.447642668,0,0,0,0,0,0,0,4.787536943,0,0,0,6.155184558,6.938438711,3.299159653,5.827049213,0,7.018422757,0.951438594,0,6.335495761,0,0
Ddx54,0,0,0,0,2.875493068,0,0,0,1.681008406,0,0,0,0,0,5.267955212,0,3.783309968,0,0,0,0,0,0,0,0,0,7.445494974,0,0,1.496283376,0,0,0,0,0.998765968,0,0,0,0,0,0,0,0,0,0,0,0
Ddx55,0,0,0,0,2.297076936,0,0,0,0,0,0,0,0,0,0,0,0,0,2.853971702,0,0,0,0,0,6.642243799,0,0,4.286984616,0,0,0,0,0,0,0,0,0,0,0,0,3.703621234,0,0,0,0,0,0
Ddx56,0,0,0,0,0,0,0,0,0,0,3.802162191,5.335386781,0,0,0,0,0,0,0,0,0,0,0,3.59737623,6.20854067,0,2.458544744,0,0,0,0,3.454847064,0,0,0,6.627803795,0,0,0,0,0,0,0,0,0,0,0
Ddx58,0,0,0,0,0,0,3.216754393,0,0,0,1.786035902,0,0,0,0,0,0.760135766,0,0,0,0,0,5.31051463,0,0,0,0,3.981322959,0,0,4.110989567,0,6.188462249,0,0.897921914,0,2.064900092,1.935731288,0,6.056113102,0,0,3.481983439,0,0.404706972,0,0
Ddx59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.324796205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.160496705,0,0,0,0,0,0,0,0,0,0,0,0,0
Ddx6,5.730153542,4.643169303,0.740115884,0,0,4.957858895,2.826778283,1.814554525,0,6.020042091,0.884652619,4.738594919,5.262316637,0.780696446,5.18660752,5.335826224,0,0,3.60129241,0,4.963501868,2.354175669,1.906744395,1.884937798,0,6.836567991,1.53854313,0,2.927735303,0,3.28683828,3.254486714,1.884601828,5.16090809,0.677954681,0,0,0,1.351843134,5.692717315,2.361336048,4.71753386,2.560387254,4.770432647,0,2.488813183,0
Ddx60,4.558071669,0,0,0,0,0,0,0,0,0,0,0,0,4.687973285,0,0,0,0,2.581252413,0,0,4.049247392,0,0,0,0,0,0,0,0,0,4.799014755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deaf1,0,0.958025999,0,0,4.019737492,0,0,0,0,0,2.692364704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.135904197,2.163775652,0,0,0,3.997870454,4.241092717,0,0,0,0,0,0,0,0,0
Deb1,5.528274373,4.940523856,0,3.902401647,6.846831761,0,0,5.185870509,4.181054831,0,4.496928855,5.512710443,0,3.805643283,5.883747877,3.062417061,0,0,0,2.707792014,6.687060688,0,7.084680851,0,0,9.020129901,0,0,7.545173,0,0,0,7.599749228,0,1.68195294,2.219719931,7.534660837,6.506984284,0,0,5.089866744,0,5.666060636,0,0,0,0
Decr1,4.707392265,0,0,0,0,6.576747352,0,0,0,0,0,0,0,2.957541344,0,0,0,0,0,4.387279815,0,0,0,0,0.137162483,3.783309968,6.628235546,0,0,0,0,5.322757406,0.22894795,5.90390835,0,5.650563533,0,0,0.562777267,2.788167834,0,0,0,0,0,0,0
Decr2,5.97327375,0,4.86098762,6.372372327,2.141867627,3.912304956,0,0,4.589062339,3.615934143,0,0,4.12613864,0,0,0,0,0,2.041453272,0,0,4.306378911,3.212964586,0,0,5.320870934,0.453259438,0,0,0,5.407543104,0,5.856146612,0,3.75009193,0,0,0,6.893155889,1.509290462,0,0,0,0,0,7.48417842,4.983189722
Dedd,0.785182246,1.322678101,0,6.1976315,0,0,2.494999227,5.189504364,0,0,5.286829411,0,0,2.042602317,0,5.522834152,0,2.327934498,0,0.031183435,0,0,1.474410084,6.835620955,0,5.525918523,0,0.420768029,0,5.619383663,0,0,0,4.409499558,4.105837288,1.060490157,3.061470348,0,0,3.272108315,6.353557957,0,0.254303782,0,0,1.391179306,0
Dedd2,0,0,0,0,0,0,0,0,0,0,0,0,0.559237269,0,0,0,0,0,0,0,0,0,0,2.779247111,0,0,0,0,0,0,0,0,0.999862937,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Def6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.262048227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.380287888,0,0,0,0,0,0,0,0,0,0,0,0,0
Def8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.578243154
Defb25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Degs1,2.962441673,0,0,0,4.879117591,5.691704442,1.747817029,7.055575284,0,7.789696652,0,0,0,0,0,6.400218548,7.104158409,7.368410424,3.843923563,6.629056392,0,7.066713505,2.057152171,8.493223006,7.8909391,0,0.075272478,0,5.920155123,0,0,7.685092162,6.50204253,4.287206309,4.344494764,0,5.164601264,3.589332052,9.001439159,6.921138754,0,0,0,0,7.776821208,3.314133837,6.841444839
Degs2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dek,4.983162354,0,6.747655933,3.776451457,6.419050045,5.452651439,4.033149855,0.484148445,4.294569289,1.933897397,1.097206246,3.233633481,0.798017325,3.69252763,0,1.856443955,0,0,3.179200503,1.996464676,1.406231882,0,0,3.240996586,3.482538548,2.918773573,4.818804556,4.083987705,0,5.482786987,0.340630628,1.034215715,0,5.958207007,0,0,6.457430131,0,4.795704618,0,1.034539722,0,0,0,0,4.034427032,0
Dem1,0,0,0,0,0,0,0,5.789152788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.815431972,0,0,0,0,0,0,0,0,0,0,0,0.588593519,0,0,0,0,0
Dennd1a,0,0.259881078,0,5.021493053,0,0,0,0,0,3.147318097,0,0,0,0,0,3.546487053,0,0,0,0,1.192755981,0,0,0,0,0,0,0,0,0,0,0,0,0,5.431031186,0,0,0,0,0,3.720475481,0,0,0,0,0,0
Dennd1b,0,0,0,0,6.371621587,0,0,0,0,4.013819539,0,0,0,0,0,0,0,4.551798992,4.322036293,4.146695948,4.228795607,0,0,0,0,0,0,0,0,0,0,0,3.780635561,0,0,0,0.040864383,0,0.036158663,0,0,0,0,0,6.183460709,0,0
Dennd2a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.869368053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dennd2c,0,0,0,0,0,0,0,0,0,0,0,0.506053478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dennd2d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dennd3,3.887398542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dennd4a,0,0,0,0,0,0,1.242096369,0,0,0,0,6.095859033,0,1.635303987,0,6.023667872,0,4.462405749,0,1.016610419,0,3.073114134,0,0,1.539982618,0,0,4.021071024,0,0,1.138814469,0,0.87680963,0,5.177120503,3.94258957,5.248083164,0,0,0,0,0,0,1.405289896,0,0,0
Dennd4b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dennd4c,2.206371287,0,0,0,0,0,0,0,0,1.986520157,0,1.131668498,0,0,0,3.838780367,0,3.93392194,3.356707253,0,1.650396947,0,0,0,0,0,0,0,0,0,0,0,0,0,3.243838137,0,2.159199671,0,0,0,0.307766572,0,0,0,2.357594229,0,0
Dennd5a,4.624036539,1.706380252,2.280142713,0,0,0,0,0,1.707674972,0.357855994,3.208634306,4.19511133,0,0,0,0,0,0,6.118056502,0,0,0,0,3.650982785,3.690607058,0,0,0,0,0,0,4.89310491,0.174687643,2.332089196,0.231284936,4.310500088,0,0,0,0.621402534,0,0,0,0,0,0,2.897321756
