,Adult_1_L28_C01_IL4898,Adult_1_L28_C02_IL4898,Adult_1_L28_C08_IL4898,Adult_1_L28_C10_IL4898,Adult_1_L28_C14_IL4898,Adult_1_L28_C15_IL4898,Adult_1_L28_C16_IL4898,Adult_1_L28_C17_IL4898,Adult_1_L28_C18_IL4898,Adult_1_L28_C19_IL4898,Adult_1_L28_C26_IL4898,Adult_1_L28_C31_IL4898,Adult_1_L28_C38_IL4898,Adult_1_L28_C39_IL4898,Adult_1_L28_C40_IL4898,Adult_1_L28_C45_IL4898,Adult_1_L28_C53_IL4898,Adult_1_L28_C56_IL4898,Adult_1_L28_C57_IL4898,Adult_1_L28_C58_IL4898,Adult_1_L28_C59_IL4898,Adult_1_L28_C60_IL4898,Adult_1_L28_C61_IL4898,Adult_1_L28_C62_IL4898,Adult_1_L28_C63_IL4898,Adult_1_L28_C64_IL4898,Adult_1_L28_C66_IL4898,Adult_1_L28_C68_IL4898,Adult_1_L28_C69_IL4898,Adult_1_L28_C72_IL4898,Adult_1_L28_C73_IL4898,Adult_1_L28_C74_IL4898,Adult_1_L28_C80_IL4898,Adult_1_L28_C81_IL4898,Adult_1_L28_C82_IL4898,Adult_1_L28_C87_IL4898,Adult_1_L28_C88_IL4898,Adult_1_L28_C95_IL4898,Adult_1D_L28_C33_IL4898,Adult_1p_L28_C21_IL4898,Adult_1p_L28_C51_IL4898,Adult_1pp_L28_C25_IL4898,Adult_1pp_L28_C34_IL4898,Adult_1pp_L28_C65_IL4898,Adult_1pp_L28_C67_IL4898,Adult_1pp_L28_C75_IL4898,Adult_1pp_L28_C79_IL4898
Zfp384,0,0,0,0,0,0,0,1.035222714,0,0,0,0,0,0,0,0,0,0,3.558659484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.806637518,3.116045305,0,0,4.231248066,0,0,0,0,0,0,0,0
Zfp385a,0.368343718,0.262938223,0,0,0,0,0,0,0,0,0,0,0,0,3.363493509,0,0,0,0,0,0,0,0,0.603188352,0,0,0,1.096646431,0,1.709312695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zfp385b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zfp386,7.205949604,0,0,0.115206409,1.022978499,2.678110226,0,0,0,0,6.950736678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.493487225,0.333114552,0,0,0,0,0,0,0,4.575481765,7.788222397,0,0,0,0,0,0,0,0,0
Zfp39,0,0,0,0,0,0,0,0.273432339,0,0,0,0,0,0,0,5.482012491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.730944221,0,0,0,0,2.577897666,0,0,0,0,0,0,0,0,0,0,0
Zfp395,0,0,0,0,0,0,0,0,0,0,0,0,0.40811401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.351153383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zfp397,2.250170299,5.966594275,0,2.177700973,0,0,0,0,0,0,0,0,2.270493061,0,0,0,0,0,5.21317617,0,0,5.209273992,0,0,0,0,0,0,0,0,0,0,6.676493094,0,0,0,4.274664218,0,0,0,0,3.024521813,0,0,0,0,0
Zfp398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zfp40,3.27439735,0,0,0,3.490377587,0,0,0,0,0,0,0,0,0,0,0,0,0,0.861590179,0,0,2.618334989,7.323397092,0,0,0,0,0,4.489549358,0,0,0,0,0,0,0.002479304,0,0,0,5.343169722,5.164508748,0,0,0,0,0,0
Zfp407,0,0,0,0,0,0,3.434828356,0,0,0,0,0,0,0,0,0,0,1.326985963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.511617311,0,0,0,2.771336278,3.610841774,0,0,0,0,0,0,0,0
Zfp408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.814603742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zfp41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zfp410,0,0,0,5.7716268,0,0.114700172,0.708160744,0,0,0,3.776567261,0,0.7602465,0,0,0,0,0,0,2.425276674,0,0,0,0,0,0,0,0,0,0,1.674885443,0,0,0,0,0,0,0,0,4.13526397,0,0,0,0,0,0,0
