"","AT2_1_C01_IL3542","AT2_1_C02_IL3541","AT2_1_C05_IL3548","AT2_1_C06_IL3544","AT2_1_C07_IL3542","AT2_1_C08_IL3541","AT2_1_C09_IL3541","AT2_1_C10_IL3548","AT2_1_C11_IL3548","AT2_1_C12_IL3544","AT2_1_C13_IL3542","AT2_1_C16_IL3545","AT2_1_C17_IL3545","AT2_1_C19_IL3542","AT2_1_C20_IL3548","AT2_1_C31_IL3541","AT2_1_C32_IL3542","AT2_1_C34_IL3545","AT2_1_C38_IL3542","AT2_1_C40_IL3545","AT2_1_C41_IL3545","AT2_1_C43_IL3541","AT2_1_C50_IL3543","AT2_1_C51_IL3544","AT2_1_C53_IL3549","AT2_1_C54_IL3547","AT2_1_C56_IL3543","AT2_1_C59_IL3546","AT2_1_C62_IL3543","AT2_1_C63_IL3544","AT2_1_C65_IL3546","AT2_1_C66_IL3547","AT2_1_C67_IL3543","AT2_1_C68_IL3544","AT2_1_C70_IL3546","AT2_1_C72_IL3547","AT2_1_C76_IL3547","AT2_1_C78_IL3546","AT2_1_C80_IL3544","AT2_1_C83_IL3547","AT2_1_C89_IL3547","AT2_1_C92_IL3544","AT2_1_C93_IL3543","AT2_1_C94_IL3547","AT2_1_C96_IL3546"
"1110001A16Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.00561107649246,0,0,4.60724152978448,0,3.86438426942417,0,0,4.04975272954134,0,0,0,0,0,0,4.05080639867996,0,0
"1110001J03Rik",0,0,0,0,0,5.75151995818177,0,0,0,0,7.76533583168,0,0,0,4.88692564787203,0,0,0,0,0,0,0,0,0,0,0,5.22586487644094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1110002B05Rik",0,0,0,0,0,0,0,0,0,0,0,0,4.58126084991063,7.29749408659681,0,0,0,0,0,0,0,0,0,0,6.84610463356001,0,0,6.66125079434265,0,0,0,0,0,0,0,7.44259521707938,5.51306431691939,0,0,0,5.56664774297473,0,0,0,4.00334137671281
"1110002L01Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1110002N22Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.8178694411115,0,0,0,0,0,0,0
"1110003E01Rik",2.55931559541553,4.89533170763367,0,0,0,5.86888180434932,2.60448414114206,4.92279726071428,0,4.17084642896042,0,0,6.34260629985509,5.20663931719994,0,3.58856473740135,6.13174997604728,0,0,0,3.44428275632633,0,6.68875385297037,5.75657500238519,0,0,0,6.18924934250133,0,5.52753643292484,0,0,0,5.34891578089407,6.78660942972149,1.7540579812474,0,0,0,7.41842610413758,0,0,1.01391241761878,0,0
"1110004E09Rik",5.84247103442107,0,0,0,0,0,0,5.18276776692375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.56191262766211,0,0
"1110004F10Rik",0,0,0,0,0,0,0,0,0,0,0,0,6.34326212406249,0,0,0,0,0,0,0,0,0,0,7.14410756861734,0,0,0,5.35315388453912,0,0,0,0,6.25966230104482,0,0,0,0,0,0,0,8.07824689523126,0,0,0,0
"1110005A03Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3118100623934,0,0,0,0,0,0,0,7.81039168828036,0,0,0,0,0,0,0,0,0,0,5.98513378981026,0,0,5.44862678661541,0,0,0,0,0
"1110006O24Rik",0,0,0,0,0,0,0,3.93341212006649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1110007C09Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.29272654300422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1110008F13Rik",0,0,3.52411383815412,0,0,0,0,0,0,0,0,0,0,0,7.81563946752654,2.40000228427217,0,5.462919377127,4.01204119785936,0,0,0,0,4.31945897466748,3.04862680453802,0,0,0,0,0,0,0,0,0,0,0,0,5.00113567523125,0,0,0,0,0,0,0
"1110008J03Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1110008L16Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693373210101942,0,0,0,0,0,7.49970240751374,0,0,0,0,0,0,3.24558236795094,0,0,0,0,0
"1110008P14Rik",0,0,0,0,0,0,0,5.56219662365151,0,0,0,0,0,0,0,0,0,0,4.88829515250243,0,3.89964936004663,0,0,0,0,0,0,4.41710313128857,0,0,0,0,6.05315261780535,0,0,0,0,0,0,0,0,0,4.62527048937469,0,0
"1110012J17Rik",0,2.90259652178787,0,0,0,5.3712486846843,0,0,0,0,0,0,0,0,0,0.377690163023433,0,3.6376682032421,0,3.13237613453036,0,0,2.70971632236885,0,0,0,0,4.39274329845037,0,0,0,3.72281572633704,0,4.45532722030456,0,0,0,0,0,0,4.06591691807821,0,0.119900612818225,0,0
"1110012L19Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.31380816103103,0,0
"1110014N23Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.38900779680665,0,0,0,0,0,0,0,0,3.92828503803274
"1110015O18Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1110017D15Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1110017F19Rik",0,4.58277275226316,0,0,0,0,0,5.49226019948603,0,0,0,7.73561694581756,0,3.02033684514881,0,0,0,5.23378071279963,0,6.48289022126823,4.72460116251829,0,0,5.45265473315248,6.76618434326623,8.46484385608765,0,5.98175449190168,0,0,6.48602406944633,0,8.3009016181031,8.20696549718422,9.38206196847315,7.79990325513653,0,6.13368270426242,0,0,6.51785045172864,0,4.87269580881486,0,7.76982462299575
"1110018G07Rik",0,0,0,0,5.24819704444319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.30292583507766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1110018J18Rik",0,0,0,0,0,5.72547669269849,0,0,0,0,0,6.89320443770638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.60898956828552,0,0,0,0,0,0,0,0,0
